Betriebszeit_-,Personen_Pers_m2,Innere Wärmen Sommer gesamt inkl. Verdungskälte_W_m2,Innere Wärmen Winter gesamt inkl. Verdungskälte_W_m2,Luftwechsel_Anlage_1_h,Luftwechsel_Infiltration_1_h,Warmwasserbedarf_W_m2,Lüfterstrom_W_m2,"Aufzug, Regelung etc._W_m2",Beleuchtung_W_m2,Nutzerstrom_unskaliert_W_m2,Nutzerstrom_W_m2
1,0.027777778,8.3508208,4.1754104,0.4,0.07,2.129311441,0.456516777,0.2,0,3.433684904,3.433684904
1,0.027777778,8.602807277,4.301403638,0.4,0.07,2.552353449,0.456516777,0.2,0,3.41771188,3.41771188
1,0.027777778,8.126992125,4.063496063,0.4,0.07,2.552353449,0.456516777,0.2,0,3.162658755,3.162658755
1,0.027777778,7.473206187,3.736603094,0.4,0.07,2.129311441,0.456516777,0.2,0,2.963253584,2.963253584
1,0.027777778,7.510694654,3.755347327,0.4,0.07,2.129311441,0.456516777,0.2,0,2.983348679,2.983348679
1,0.027777778,8.885271758,4.442635879,0.4,0.07,3.835580874,0.456516777,0.2,0,3.720168819,3.720168819
1,0.027777778,10.27825336,5.139126678,0.4,0.07,2.975395457,0.456516777,0.2,0,4.315808037,4.315808037
1,0.027777778,11.9968394,5.998419701,0.4,0.07,1.706269433,0.456516777,0.2,0,4.330750543,4.330750543
1,0.027777778,10.52902175,5.264510877,0.4,0.07,1.706269433,0.456516777,0.2,0,3.543950296,3.543950296
1,0.027777778,8.228345256,4.114172628,0.4,0.07,0.846084016,0.456516777,0.2,0,2.763848413,2.763848413
1,0.027777778,7.782328629,3.891164314,0.4,0.07,0.846084016,0.456516777,0.2,0,2.524768312,2.524768312
1,0.027777778,5.940985275,2.970492638,0.4,0.07,0.846084016,0.456516777,0.2,0,2.141930995,2.141930995
1,0.027777778,4.241367247,2.120683623,0.4,0.07,0.423042008,0.456516777,0.2,0,1.381924207,1.381924207
1,0.027777778,4.669120262,2.334560131,0.4,0.07,0.423042008,0.456516777,0.2,0,1.61121439,1.61121439
